Categori_GO,biologial function,Tota_genes
Biological process ,signal transduction,21
Cellular component,integral component of membrane,5
Biological process ,spermatogenesis,6
Biological process ,ubiquitin-dependent protein catabolic process,5
Biological process ,visual perception,6
Biological process ,viral process,24
Biological process ,protein transport,9
Biological process ,protein ubiquitination,5
Molecular function,RNA binding,2
Biological process ,stress-activated protein kinase signaling cascade,2
Molecular function,structural constituent of cytoskeleton,2
Biological process ,"negative regulation of transcription, DNA-templated",2
Biological process ,cell adhesion,2
Biological process ,sensory perception of smell,2
Cellular component,extracellular region,2
Biological process ,smoothened signaling pathway,2
Biological process ,transcription initiation from RNA polymerase II promoter,2
Biological process ,rRNA processing,2
Biological process ,protein dephosphorylation,2
Biological process ,vasculogenesis,2
Cellular component,plasma membrane,17
Molecular function,nucleic acid binding,4
Biological process ,triglyceride biosynthetic process,2
Biological process ,regulation of ARF protein signal transduction,2
Biological process ,stem cell maintenance,2
Biological process ,viral penetration into host nucleus,2
Biological process ,translational initiation,2
Biological process ,positive regulation of apoptotic process,2
Biological process ,positive regulation of I-kappaB kinase/NF-kappaB signaling,2
Biological process ,stem cell differentiation,2
Biological process ,oligosaCellular componentharide biosynthetic process,2
Biological process ,negative regulation of nitric-oxide synthase activity,2
Biological process ,Ras protein signal transduction,2
Biological process ,neuron projection development,11
Biological process ,"synaptic transmission, cholinergic",2
Biological process ,skin development,2
Biological process ,spliceosomal complex assembly,2
Biological process ,valine biosynthetic process,4
Biological process ,transferrin transport,2
Biological process ,protein homotetramerization,2
Biological process ,adaptive immune response,5
Biological process ,tRNA modification,2
